account,date,daily_pnl,num_trades,avg_trade_size,win_rate,long_ratio,timestamp,value,classification,trader_activity,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,5089.718248587571,0.0,0.0,1731303000.0,76.0,Extreme Greed,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,7976.664411764705,0.0,0.0,1731821400.0,90.0,Extreme Greed,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,39,7272.007435897435,0.0,0.0,1731907800.0,83.0,Extreme Greed,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,28186.666666666668,0.0,0.0,1732253400.0,94.0,Extreme Greed,medium,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,17248.14814814815,0.4444444444444444,0.0,1732599000.0,79.0,Extreme Greed,medium,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,16058.536341463414,0.0,0.0,1732771800.0,77.0,Extreme Greed,high,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,22,33372.321818181816,0.0,0.0,1732944600.0,84.0,Extreme Greed,medium,2
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-57620.89595600001,32,12430.493437500001,0.0,0.0,1733463000.0,72.0,Greed,medium,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,464,10949.259245689655,0.04956896551724138,0.0,1737264600.0,77.0,Extreme Greed,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,9400.588039215687,0.5490196078431373,0.0,1737351000.0,76.0,Extreme Greed,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,16624.10537,7,28704.654285714285,1.0,0.0,1738474200.0,60.0,Greed,low,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,129140.57546000001,824,15847.680084951457,0.308252427184466,0.0,1738560600.0,44.0,Fear,high,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,304084.553503,529,9597.412419659735,0.15500945179584122,0.0,1738647000.0,72.0,Greed,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,33478.86368,207,20872.910869565218,0.3719806763285024,0.0,1738733400.0,54.0,Neutral,high,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,10161.056241134751,0.9361702127659575,0.0,1739079000.0,46.0,Neutral,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,31174.63636,45,26756.921555555557,0.28888888888888886,0.0,1739165400.0,43.0,Fear,high,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,5,81580.092,0.0,0.0,1739251800.0,47.0,Neutral,low,2
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,58,22665.802586206897,0.5344827586206896,0.0,1740375000.0,49.0,Neutral,high,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,67560.77691,216,9780.215324074074,0.4166666666666667,0.0,1740461400.0,25.0,Fear,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,0.0,54,12732.221666666666,0.0,0.0,1740720600.0,16.0,Extreme Fear,high,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,2985.797555555556,0.8,0.0,1740807000.0,20.0,Extreme Fear,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,471711.000523,639,7292.499467918623,0.8419405320813772,0.0,1740979800.0,33.0,Fear,high,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,79640.0,0.8,0.0,1742794200.0,45.0,Neutral,low,2
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,172526.71331,30,12445.690999999999,1.0,0.0,1744435800.0,43.0,Fear,medium,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-06,0.0,45,10673.925777777777,0.0,0.0,1733463000.0,72.0,Greed,high,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-12,1762.46,10,6750.81,1.0,0.0,1733981400.0,83.0,Extreme Greed,low,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-17,27.63736,20,3976.0629999999996,0.55,0.0,1734413400.0,87.0,Extreme Greed,medium,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-18,0.0,44,3081.5213636363637,0.0,0.0,1734499800.0,81.0,Extreme Greed,high,0
